date,cdi_annual_rate,cdi_monthly_rate,cdi_accumulated_ytd_rate,cdi_12m_rate
2019-02,0.064,0.0049,0.0103264599999999,0.0640037437687428
2019-03,0.064,0.0046999999999999,0.0150749943619998,0.0633687072162103
2019-04,0.064,0.0052,0.0203533843326824,0.0633687072162103
2019-05,0.064,0.0054,0.025863292608079,0.0635802807751471
2019-06,0.064,0.0046999999999999,0.0306848500833369,0.0630512416382709
2019-07,0.064,0.0056999999999999,0.036559753728812,0.0633684441173754
2019-08,0.059,0.005,0.0417425524974559,0.0626283049994647
2019-09,0.0571,0.0046,0.0465345682389441,0.0625225392679031
2019-10,0.0538,0.0048,0.0515579341664911,0.061888449827322
2019-11,0.049,0.0038,0.0555538543163238,0.0607260682024737
2019-12,0.0458999999999999,0.0037,0.0594594035772944,0.0594594035772944
2020-01,0.044,0.0038,0.0038,0.0577733730961682
2020-02,0.0419,0.0029,0.00671102,0.0556681419824331
2020-03,0.0395,0.0034,0.010133837468,0.0543021933563989
2020-04,0.0365,0.0028,0.0129622122129102,0.0517849577176643
2020-05,0.0301,0.0024,0.0153933215222212,0.048646550244864
2020-06,0.0258,0.0021,0.0175256474974179,0.0459328237288529
2020-07,0.0215,0.0019,0.019458946227663,0.0419808055025734
2020-08,0.0194,0.0016,0.0210900805416274,0.0384556963098283
2020-09,0.019,0.0016,0.0227238246704941,0.0353545942901896
2020-10,0.019,0.0016,0.0243601827899671,0.0320572866650616
2020-11,0.019,0.0015,0.025896723064152,0.0296925409394896
2020-12,0.019,0.0016,0.0275381578210547,0.0275381578210547
2021-01,0.019,0.0015,0.0015,0.0251837667441581
2021-02,0.019,0.0013,0.00280195,0.0235482158150621
2021-03,0.0223,0.002,0.0048075539,0.0221201038934546
2021-04,0.0265,0.0021,0.0069176497631899,0.0214066175824003
2021-05,0.0329,0.0027,0.0096363274175506,0.0217123059156747
2021-06,0.0375999999999999,0.0031,0.012766200032545,0.0227318771220574
2021-07,0.0415,0.0036,0.0164121583526621,0.0244672241538044
2021-08,0.0501,0.0043,0.0207827306335786,0.0272288670304168
2021-09,0.0542999999999999,0.0044,0.0252741746483662,0.0301005132241924
2021-10,0.063,0.0049,0.0302980181041432,0.0334944146755098
2021-11,0.0765,0.0059,0.0363767764109577,0.0380349792532157
2021-12,0.0876,0.0077,0.0443568775893221,0.0443568775893221
2022-01,0.0915,0.0073,0.0073,0.0504050751829496
2022-02,0.1049,0.0076,0.0149554800000002,0.0570140355081796
2022-03,0.1115,0.0093,0.0243945659640003,0.0647148363656746
2022-04,0.1165,0.0083,0.0328970408615014,0.0713022348143992
2022-05,0.1251,0.0103,0.0435358803823748,0.0794222078717337
2022-06,0.1289,0.0102,0.0541799463622751,0.0870624208872747
2022-07,0.1315,0.0103,0.0650379998098065,0.0943196132148405
2022-08,0.1358,0.0116999999999999,0.0774989444075813,0.1023829061928252
2022-09,0.1365,0.0107,0.0890281831127424,0.109297494314106
2022-10,0.1365,0.0102,0.1001362705804924,0.1151481030511594
2022-11,0.1365,0.0102,0.1113576605404134,0.1199151145265742
2022-12,0.1365,0.0112,0.1238048663384661,0.1238048663384661
2023-01,0.1365,0.0112,0.0112,0.1281559424614882
2023-02,0.1365,0.0092,0.0205030400000001,0.129947377066429
2023-03,0.1365,0.0116999999999999,0.0324429255680001,0.1326342627346737
2023-04,0.1365,0.0092,0.0419414004832257,0.1336452424395846
2023-05,0.1365,0.0112,0.0536111441686379,0.134655121404442
2023-06,0.1365,0.0107,0.0648847834112422,0.1352167206528105
2023-07,0.1365,0.0107,0.0762790505937425,0.1356661779311057
2023-08,0.1319,0.0113999999999999,0.0885486317705113,0.1353294181669664
2023-09,0.1297,0.0097,0.0991075534986853,0.1342061081658119
2023-10,0.1265,0.01,0.1100986290336722,0.1339815573623739
2023-11,0.1217,0.0092,0.120311536420782,0.132859025628695
2023-12,0.1186999999999999,0.0089,0.130282309094927,0.130282309094927
2024-01,0.1165,0.0097,0.0097,0.1286056640557238
2024-02,0.1115,0.008,0.0177776,0.1272636834801519
2024-03,0.11,0.0083,0.02622515408,0.1234753109153281
2024-04,0.1065,0.0089,0.035358557951312,0.1231413408466846
2024-05,0.1046,0.0083,0.0439520339823078,0.1199203065424368
2024-06,0.104,0.0079,0.0521992550507681,0.1168177272822026
2024-07,0.104,0.0091,0.0617742682717303,0.1150497364207683
2024-08,0.104,0.0087,0.0710117044056943,0.1120730365113988
2024-09,0.105,0.0084,0.0800082027227022,0.1106412300862578
2024-10,0.1065,0.0093,0.0900522790080233,0.1098714787386736
2024-11,0.1104,0.0079,0.0986636920121868,0.1084417988710948
2024-12,0.1177,0.0093,0.1088812643479002,0.1088812643479002
2025-01,0.1224,0.0101,0.0100999999999999,0.1093205557272589
2025-02,0.1315,0.0098999999999999,0.02009999,0.1114115369334913
2025-03,0.1357,0.0096,0.0298929499040001,0.1128444785163669
2025-04,0.1415,0.0106,0.0408098151729825,0.1147196253232636
2025-05,0.1455,0.0113999999999999,0.0526750470659547,0.1181468105245946
2025-06,0.1474,0.011,0.0642544725836802,0.1215858968552088
2025-07,0.149,0.0128,0.0778769298327513,0.1256983414279613
2025-08,0.149,0.0116,0.0903803022188112,0.1289347102097011
2025-09,0.149,0.0121999999999999,0.1036829419058806,0.1331889266900627
2025-10,0.149,0.0128,0.1178100835622759,0.1371185425063863
2025-11,0.149,0.0105,0.1295470894396797,0.1400518773714683
2025-12,0.149,0.012199999999999999,0.14332756393084378,0.14332756393084378
