date,ipca_monthly_rate,ipca_accumulated_ytd_rate,ipca_12m_rate
2017-06,-0.0023,0.0118454301006092,0.0299836147163679
2017-07,0.0024,0.0142738591328506,0.0271145795778819
2017-08,0.0019,0.0162009794652031,0.024558041894743
2017-09,0.0016,0.0178269010323475,0.0253770331352667
2017-10,0.0042,0.0221017740166833,0.0270133818815432
2017-11,0.0028,0.0249636589839299,0.0280385499608812
2017-12,0.0044,0.029473499083459,0.029473499083459
2018-01,0.0029,0.0028999999999999,0.0285504804052609
2018-02,0.0032,0.0061092799999999,0.0284479636624712
2018-03,0.0009,0.0070147783519998,0.0268065504536334
2018-04,0.0022,0.0092302108643742,0.027626847278442
2018-05,0.004,0.0132671317078316,0.0285488532225652
2018-06,0.0126,0.0260342975673502,0.0439095607629245
2018-07,0.0033,0.0294202107493224,0.0448468299216298
2018-08,-0.0009,0.0284937325596479,0.0419268068417013
2018-09,0.0048,0.0334305024759342,0.0452556464801734
2018-10,0.0045,0.0380809397370758,0.0455679116603604
2018-11,-0.0021,0.0359009697636278,0.0404589340305878
2018-12,0.0015,0.0374548212182734,0.0374548212182734
2019-01,0.0032,0.0032,0.0377651576888746
2019-02,0.0043,0.0075137600000001,0.0389030580810774
2019-03,0.0075,0.0150701132000001,0.0457536527292294
2019-04,0.0056999999999999,0.0208560128452401,0.0494057558868348
2019-05,0.0013,0.0221831256619391,0.0465836487743902
2019-06,0.0001,0.0222853439745054,0.033664138988019
2019-07,0.0019,0.024227686128057,0.0322217690143484
2019-08,0.0011,0.0253543365827979,0.0342880722252669
2019-09,-0.0004,0.0249441948481647,0.0289354667559487
2019-10,0.001,0.0259691390430127,0.0253503257567992
2019-11,0.0051,0.0312015816521322,0.0327483840246103
2019-12,0.0115,0.0430603998411318,0.0430603998411318
2020-01,0.0021,0.0020999999999999,0.0419166932623586
2020-02,0.0025,0.00460525,0.0400492731210935
2020-03,0.0007,0.0053084736749999,0.0330295857193829
2020-04,-0.0031,0.0021920174066074,0.0239904484475022
2020-05,-0.0038,-0.0016163122595376,0.0187748774027778
2020-06,0.0026,0.0009794853285876,0.0213215599280318
2020-07,0.0036,0.0045830114757705,0.0230545139672355
2020-08,0.0024,0.0069940107033124,0.024383023474934
2020-09,0.0064,0.0134387723718134,0.0313516154713624
2020-10,0.0086,0.022154345814211,0.0391820573071086
2020-11,0.0089,0.0312515194919573,0.0431109119661146
2020-12,0.0135,0.0451734150050988,0.0451734150050988
2021-01,0.0025,0.0024999999999999,0.0455906082652544
2021-02,0.0086,0.0111214999999997,0.0519528054826288
2021-03,0.0093,0.0205249299499998,0.0609932712837189
2021-04,0.0031,0.0236885572328449,0.0675918852690329
2021-05,0.0083,0.0321851722578774,0.0805590222011296
2021-06,0.0053,0.0376557536708441,0.0834689657079552
2021-07,0.0096,0.0476172489060844,0.0899464605208766
2021-08,0.0087,0.0567315189715673,0.0967966826889543
2021-09,0.0116,0.0689896045916376,0.1024637561686672
2021-10,0.0125,0.0823519746490331,0.1067267034709258
2021-11,0.0095,0.092634318408199,0.1073848817067102
2021-12,0.0073,0.100610548932579,0.100610548932579
2022-01,0.0054,0.0054,0.1037943599968229
2022-02,0.0101,0.0155545400000001,0.1054359340003878
2022-03,0.0162,0.032006523548,0.11299315974556
2022-04,0.0106,0.0429457926976086,0.1213148113237592
2022-05,0.0046999999999999,0.0478476379232872,0.1173113070881493
2022-06,0.0067,0.0548682170973733,0.1188672961759074
2022-07,-0.0068,0.0476951132211111,0.1006923519828753
2022-08,-0.0036,0.0439234108135151,0.0872706052500613
2022-09,-0.0029,0.0408960329221559,0.0716859633203206
